desired_mA,actual_mA
600,0
600,1120
600,16
600,717
600,750
600,170
600,853
600,497
600,389
600,900
600,309
600,660
600,648
600,438
600,668
600,638
600,482
600,715
600,435
600,645
600,613
600,545
600,503
600,687
600,508
600,671
600,402
600,714
600,568
600,504
600,694
600,604
600,459
600,706
600,566
600,470
600,752
600,331
600,1008
600,433
600,431
600,837
600,299
600,881
600,239
600,710
600,542
600,659
600,462
600,742
600,474
600,641
600,539
600,666
600,519
600,573
600,676
600,443
600,850
600,270
600,602
600,743
600,383
600,650
600,639
600,531
600,636
600,481
600,704
600,490
600,618
600,573
600,671
600,490
600,597
600,473
600,697
600,502
600,587
600,565
600,502
600,698
600,559
600,550
600,561
600,574
600,525
600,495
600,445
600,460
600,426
600,374
600,582
600,379
600,476
600,525
600,484
600,413
600,519
600,480
-600,455
-600,-1096
-600,-266
-600,-208
-600,-721
-600,-354
-600,-589
-600,-678
-600,-304
-600,-875
-600,-318
-600,-558
-600,-635
-600,-427
-600,-851
-600,-512
-600,-569
-600,-542
-600,-531
-600,-757
-600,-399
-600,-715
-600,-631
-600,-438
-600,-761
-600,-293
-600,-750
-600,-471
-600,-530
-600,-900
-600,-278
-600,-848
-600,-313
-600,-708
-600,-701
-600,-274
-600,-986
-600,-285
-600,-573
-600,-653
-600,-672
-600,-504
-600,-608
-600,-697
-600,-340
-600,-793
-600,-324
-600,-913
-600,-404
-600,-520
-600,-845
-600,-298
-600,-737
-600,-538
-600,-636
-600,-594
-600,-563
-600,-535
-600,-717
-600,-482
-600,-590
-600,-673
-600,-374
-600,-810
-600,-544
-600,-505
-600,-686
-600,-505
-600,-562
-600,-660
-600,-509
-600,-618
-600,-626
-600,-515
-600,-646
-600,-562
-600,-532
-600,-650
-600,-516
-600,-571
-600,-641
-600,-497
-600,-643
-600,-587
-600,-599
-600,-503
-600,-638
-600,-577
-600,-543
-600,-620
-600,-418
-600,-721
-600,-532
-600,-590
-600,-461
-600,-742
-600,-491
-600,-640
-600,-508
-600,-626
600,-621
600,1042
600,392
600,304
600,766
600,414
600,475
600,741
600,351
600,688
600,715
600,328
600,761
600,582
600,414
600,776
600,495
600,516
600,662
600,529
600,613
600,637
600,497
600,660
600,576
600,520
600,678
600,539
600,532
600,681
600,469
600,667
600,589
600,504
600,685
600,510
600,613
600,511
600,626
600,577
600,557
600,615
600,591
600,490
600,648
600,516
600,680
600,589
600,453
600,718
600,512
600,654
600,513
600,640
600,525
600,556
600,656
600,367
600,826
600,508
600,363
600,1000
600,270
600,630
600,796
600,230
600,777
600,396
600,821
600,283
600,750
600,432
600,769
600,415
600,774
600,413
600,866
600,308
600,711
600,583
600,542
600,738
600,401
600,727
600,500
600,582
600,677
600,466
600,681
600,393
600,655
600,567
600,577
600,607
600,604
600,605
600,500
600,474
600,700
600,504
-600,569
-600,-1042
-600,-257
-600,-265
-600,-793
-600,-249
-600,-473
-600,-554
-600,-705
-600,-430
-600,-702
-600,-497
-600,-606
-600,-468
-600,-699
-600,-519
-600,-489
-600,-826
-600,-252
-600,-856
-600,-548
-600,-403
-600,-919
-600,-152
-600,-823
-600,-488
-600,-681
-600,-406
-600,-796
-600,-314
-600,-928
-600,-423
-600,-488
-600,-911
-600,-196
-600,-800
-600,-773
-600,-121
-600,-1039
-600,-461
-600,-277
-600,-1085
-600,-212
-600,-580
-600,-933
-600,-86
-600,-927
-600,-607
-600,-345
-600,-861
-600,-325
-600,-625
-600,-754
-600,-395
-600,-666
-600,-690
-600,-392
-600,-741
-600,-567
-600,-448
-600,-771
-600,-481
-600,-546
-600,-699
-600,-458
-600,-645
-600,-633
-600,-467
-600,-678
-600,-535
-600,-536
-600,-672
-600,-493
-600,-638
-600,-539
-600,-619
-600,-565
-600,-572
-600,-605
-600,-526
-600,-646
-600,-564
-600,-547
-600,-502
-600,-714
-600,-544
-600,-579
-600,-576
-600,-599
-600,-578
-600,-578
-600,-584
-600,-599
-600,-526
-600,-662
-600,-396
-600,-761
-600,-585
-600,-491
-600,-690
